1953,Conference placeholder,1953 American League Team Standings 1953 All-Star Game | 1953 Team Standings | 1953 World Series,1953 American League Team Standings 1953 All-Star Game | 1953 Team Standings | 1953 World Series,Strike Splits placeholder,Ties placeholder,1953 American League Team Standings 1953 All-Star Game | 1953 Team Standings | 1953 World Series,1953 American League Team Standings 1953 All-Star Game | 1953 Team Standings | 1953 World Series,1953 American League Team Standings 1953 All-Star Game | 1953 Team Standings | 1953 World Series,Payroll placeholder
1953,Conference placeholder,Team [Click for roster],Wins,Strike Splits placeholder,Ties placeholder,Losses,WP,GB,Payroll placeholder
1953,Conference placeholder,New York Yankees,99,Strike Splits placeholder,Ties placeholder,52,.656,0,Payroll placeholder
1953,Conference placeholder,Cleveland Indians,92,Strike Splits placeholder,Ties placeholder,62,.597,8½,Payroll placeholder
1953,Conference placeholder,Chicago White Sox,89,Strike Splits placeholder,Ties placeholder,65,.578,11½,Payroll placeholder
1953,Conference placeholder,Boston Red Sox,84,Strike Splits placeholder,Ties placeholder,69,.549,16,Payroll placeholder
1953,Conference placeholder,Washington Senators,76,Strike Splits placeholder,Ties placeholder,76,.500,23½,Payroll placeholder
1953,Conference placeholder,Detroit Tigers,60,Strike Splits placeholder,Ties placeholder,94,.390,40½,Payroll placeholder
1953,Conference placeholder,Philadelphia Athletics,59,Strike Splits placeholder,Ties placeholder,95,.383,41½,Payroll placeholder
1953,Conference placeholder,St. Louis Browns,54,Strike Splits placeholder,Ties placeholder,100,.351,46½,Payroll placeholder
1954,Conference placeholder,1954 American League Team Standings 1954 All-Star Game | 1954 Team Standings | 1954 World Series,1954 American League Team Standings 1954 All-Star Game | 1954 Team Standings | 1954 World Series,Strike Splits placeholder,Ties placeholder,1954 American League Team Standings 1954 All-Star Game | 1954 Team Standings | 1954 World Series,1954 American League Team Standings 1954 All-Star Game | 1954 Team Standings | 1954 World Series,1954 American League Team Standings 1954 All-Star Game | 1954 Team Standings | 1954 World Series,Payroll placeholder
1954,Conference placeholder,Team [Click for roster],Wins,Strike Splits placeholder,Ties placeholder,Losses,WP,GB,Payroll placeholder
1954,Conference placeholder,Cleveland Indians,111,Strike Splits placeholder,Ties placeholder,43,.721,0,Payroll placeholder
1954,Conference placeholder,New York Yankees,103,Strike Splits placeholder,Ties placeholder,51,.669,8,Payroll placeholder
1954,Conference placeholder,Chicago White Sox,94,Strike Splits placeholder,Ties placeholder,60,.610,17,Payroll placeholder
1954,Conference placeholder,Boston Red Sox,69,Strike Splits placeholder,Ties placeholder,85,.448,42,Payroll placeholder
1954,Conference placeholder,Detroit Tigers,68,Strike Splits placeholder,Ties placeholder,86,.442,43,Payroll placeholder
1954,Conference placeholder,Washington Senators,66,Strike Splits placeholder,Ties placeholder,88,.429,45,Payroll placeholder
1954,Conference placeholder,Baltimore Orioles,54,Strike Splits placeholder,Ties placeholder,100,.351,57,Payroll placeholder
1954,Conference placeholder,Philadelphia Athletics,51,Strike Splits placeholder,Ties placeholder,103,.331,60,Payroll placeholder
1955,Conference placeholder,1955 American League Team Standings 1955 All-Star Game | 1955 Team Standings | 1955 World Series,1955 American League Team Standings 1955 All-Star Game | 1955 Team Standings | 1955 World Series,Strike Splits placeholder,Ties placeholder,1955 American League Team Standings 1955 All-Star Game | 1955 Team Standings | 1955 World Series,1955 American League Team Standings 1955 All-Star Game | 1955 Team Standings | 1955 World Series,1955 American League Team Standings 1955 All-Star Game | 1955 Team Standings | 1955 World Series,Payroll placeholder
1955,Conference placeholder,Team | Roster,W,Strike Splits placeholder,Ties placeholder,L,WP,GB,Payroll placeholder
1955,Conference placeholder,New York Yankees,96,Strike Splits placeholder,Ties placeholder,58,.623,0,Payroll placeholder
1955,Conference placeholder,Cleveland Indians,93,Strike Splits placeholder,Ties placeholder,61,.604,3,Payroll placeholder
1955,Conference placeholder,Chicago White Sox,91,Strike Splits placeholder,Ties placeholder,63,.591,5,Payroll placeholder
1955,Conference placeholder,Boston Red Sox,84,Strike Splits placeholder,Ties placeholder,70,.545,12,Payroll placeholder
1955,Conference placeholder,Detroit Tigers,79,Strike Splits placeholder,Ties placeholder,75,.513,17,Payroll placeholder
1955,Conference placeholder,Kansas City Athletics,63,Strike Splits placeholder,Ties placeholder,91,.409,33,Payroll placeholder
1955,Conference placeholder,Baltimore Orioles,57,Strike Splits placeholder,Ties placeholder,97,.370,39,Payroll placeholder
1955,Conference placeholder,Washington Senators,53,Strike Splits placeholder,Ties placeholder,101,.344,43,Payroll placeholder
1955,Conference placeholder,Team | Roster,W,Strike Splits placeholder,Ties placeholder,L,WP,GB,Payroll placeholder
1955,Conference placeholder,1955 American League Team Standings,1955 American League Team Standings,Strike Splits placeholder,Ties placeholder,1955 American League Team Standings,1955 American League Team Standings,1955 American League Team Standings,Payroll placeholder
1956,Conference placeholder,1956 American League Team Standings 1956 All-Star Game | 1956 Team Standings | 1956 World Series,1956 American League Team Standings 1956 All-Star Game | 1956 Team Standings | 1956 World Series,Strike Splits placeholder,Ties placeholder,1956 American League Team Standings 1956 All-Star Game | 1956 Team Standings | 1956 World Series,1956 American League Team Standings 1956 All-Star Game | 1956 Team Standings | 1956 World Series,1956 American League Team Standings 1956 All-Star Game | 1956 Team Standings | 1956 World Series,Payroll placeholder
1956,Conference placeholder,Team [Click for roster],Wins,Strike Splits placeholder,Ties placeholder,Losses,WP,GB,Payroll placeholder
1956,Conference placeholder,New York Yankees,97,Strike Splits placeholder,Ties placeholder,57,.630,0,Payroll placeholder
1956,Conference placeholder,Cleveland Indians,88,Strike Splits placeholder,Ties placeholder,66,.571,9,Payroll placeholder
1956,Conference placeholder,Chicago White Sox,85,Strike Splits placeholder,Ties placeholder,69,.552,12,Payroll placeholder
1956,Conference placeholder,Boston Red Sox,84,Strike Splits placeholder,Ties placeholder,70,.545,13,Payroll placeholder
1956,Conference placeholder,Detroit Tigers,82,Strike Splits placeholder,Ties placeholder,72,.532,15,Payroll placeholder
