Year,Statistic Name,Name(s),Team(s),Statistic Value
1931,Batting Average,Al Simmons,Philadelphia,0.39
1931,Doubles,Earl Webb,Boston,67.0
1931,Hits,Lou Gehrig,New York,211.0
1931,Home Runs,Lou Gehrig,New York,46.0
1931,Home Runs,Babe Ruth,New York,46.0
1931,On Base Percentage,Babe Ruth,New York,0.495
1931,RBI,Lou Gehrig,New York,184.0
1931,Runs,Lou Gehrig,New York,163.0
1931,Slugging Average,Babe Ruth,New York,0.7
1931,Stolen Bases,Ben Chapman,New York,61.0
1931,Total Bases,Lou Gehrig,New York,410.0
1931,Triples,Roy Johnson,Detroit,19.0
1932,Base on Balls,Babe Ruth,New York,130.0
1932,Batting Average,Dale Alexander *,Detroit,0.367
1932,Batting Average,Dale Alexander *,Boston,0.367
1932,Doubles,Eric McNair,Philadelphia,47.0
1932,Hits,Al Simmons,Philadelphia,216.0
1932,Home Runs,Jimmie Foxx,Philadelphia,58.0
1932,On Base Percentage,Babe Ruth,New York,0.489
1932,RBI,Jimmie Foxx,Philadelphia,169.0
1932,Runs,Jimmie Foxx,Philadelphia,151.0
1932,Slugging Average,Jimmie Foxx,Philadelphia,0.749
1932,Stolen Bases,Ben Chapman,New York,38.0
1932,Total Bases,Jimmie Foxx,Philadelphia,438.0
1932,Triples,Joe Cronin,Washington,18.0
1933,Base on Balls,Babe Ruth,New York,114.0
1933,Batting Average,Jimmie Foxx,Philadelphia,0.356
1933,Doubles,Joe Cronin,Washington,45.0
1933,Hits,Heinie Manush,Washington,221.0
1933,Home Runs,Jimmie Foxx,Philadelphia,48.0
1933,On Base Percentage,Mickey Cochrane,Philadelphia,0.459
1933,RBI,Jimmie Foxx,Philadelphia,163.0
1933,Runs,Lou Gehrig,New York,138.0
1933,Slugging Average,Jimmie Foxx,Philadelphia,0.703
1933,Stolen Bases,Ben Chapman,New York,27.0
1933,Total Bases,Jimmie Foxx,Philadelphia,403.0
1933,Triples,Heinie Manush,Washington,17.0
1934,Base on Balls,Jimmie Foxx,Philadelphia,111.0
1934,Batting Average,Lou Gehrig,New York,0.363
1934,Doubles,Hank Greenberg,Detroit,63.0
1934,Hits,Charlie Gehringer,Detroit,214.0
1934,Home Runs,Lou Gehrig,New York,44.0
1934,On Base Percentage,Lou Gehrig,New York,0.465
1934,RBI,Lou Gehrig,New York,165.0
1934,Runs,Charlie Gehringer,Detroit,134.0
1934,Slugging Average,Lou Gehrig,New York,0.706
1934,Stolen Bases,Billy Werber,Boston,40.0
1934,Total Bases,Lou Gehrig,New York,409.0
1934,Triples,Ben Chapman,New York,13.0
1935,Base on Balls,Lou Gehrig,New York,132.0
1935,Batting Average,Buddy Myer,Washington,0.349
1935,Doubles,Joe Vosmik,Cleveland,47.0
1935,Hits,Joe Vosmik,Cleveland,216.0
1935,Home Runs,Jimmie Foxx,Philadelphia,36.0
1935,Home Runs,Hank Greenberg,Detroit,36.0
1935,On Base Percentage,Lou Gehrig,New York,0.466
1935,RBI,Hank Greenberg,Detroit,170.0
1935,Runs,Lou Gehrig,New York,125.0
1935,Slugging Average,Jimmie Foxx,Philadelphia,0.636
1935,Stolen Bases,Billy Werber,Boston,29.0
1935,Total Bases,Hank Greenberg,Detroit,389.0
1935,Triples,Joe Vosmik,Cleveland,20.0
1936,Base on Balls,Lou Gehrig,New York,130.0
1936,Batting Average,Luke Appling,Chicago,0.388
1936,Doubles,Charlie Gehringer,Detroit,60.0
1936,Hits,Earl Averill,Cleveland,232.0
1936,Home Runs,Lou Gehrig,New York,49.0
1936,On Base Percentage,Lou Gehrig,New York,0.478
1936,RBI,Hal Trosky,Cleveland,162.0
1936,Runs,Lou Gehrig,New York,167.0
1936,Slugging Average,Lou Gehrig,New York,0.696
1936,Stolen Bases,Lyn Lary,St. Louis,37.0
1936,Total Bases,Hal Trosky,Cleveland,405.0
1936,Triples,Earl Averill,Cleveland,18.0
1936,Triples,Joe DiMaggio,New York,18.0
1936,Triples,Red Rolfe,New York,18.0
1937,Base on Balls,Lou Gehrig,New York,127.0
1937,Batting Average,Charlie Gehringer,Detroit,0.371
1937,Doubles,Beau Bell,St. Louis,51.0
1937,Hits,Beau Bell,St. Louis,218.0
1937,Home Runs,Joe DiMaggio,New York,46.0
1937,On Base Percentage,Lou Gehrig,New York,0.473
1937,RBI,Hank Greenberg,Detroit,183.0
1937,Runs,Joe DiMaggio,New York,151.0
1937,Slugging Average,Joe DiMaggio,New York,0.673
1937,Stolen Bases,Ben Chapman,Washington,35.0
1937,Stolen Bases,Ben Chapman,Boston,35.0
1937,Stolen Bases,Billy Werber,Philadelphia,35.0
1937,Total Bases,Joe DiMaggio,New York,418.0
1937,Triples,Mike Kreevich,Chicago,16.0
1937,Triples,Dixie Walker,Chicago,16.0
1938,Base on Balls,Jimmie Foxx,Boston,119.0
1938,Base on Balls,Hank Greenberg,Detroit,119.0
1938,Batting Average,Jimmie Foxx,Boston,0.349
1938,Doubles,Joe Cronin,Boston,51.0
1938,Hits,Joe Vosmik,Boston,201.0
1938,Home Runs,Hank Greenberg,Detroit,58.0
1938,On Base Percentage,Jimmie Foxx,Boston,0.462
1938,RBI,Jimmie Foxx,Boston,175.0
1938,Runs,Hank Greenberg,Detroit,144.0
1938,Slugging Average,Jimmie Foxx,Boston,0.704
1938,Stolen Bases,Frankie Crosetti,New York,27.0
1938,Total Bases,Jimmie Foxx,Boston,398.0
1938,Triples,Jeff Heath,Cleveland,18.0
1939,Base on Balls,Harlond Clift,St. Louis,111.0
1939,Batting Average,Joe DiMaggio,New York,0.381
1939,Doubles,Red Rolfe,New York,46.0
1939,Hits,Red Rolfe,New York,213.0
1939,Home Runs,Jimmie Foxx,Boston,35.0
1939,On Base Percentage,Jimmie Foxx,Boston,0.464
1939,RBI,Ted Williams,Boston,145.0
1939,Runs,Red Rolfe,New York,139.0
1939,Slugging Average,Jimmie Foxx,Boston,0.694
1939,Stolen Bases,George Case,Washington,51.0
1939,Total Bases,Ted Williams,Boston,344.0
1939,Triples,Buddy Lewis,Washington,16.0
1940,Base on Balls,Charlie Keller,New York,106.0
1940,Batting Average,Joe DiMaggio,New York,0.352
1940,Doubles,Hank Greenberg,Detroit,50.0
1940,Hits,Doc Cramer,Boston,200.0
1940,Hits,Barney McCosky,Detroit,200.0
1940,Hits,Rip Radcliff,St. Louis,200.0
1940,Home Runs,Hank Greenberg,Detroit,41.0
1940,On Base Percentage,Ted Williams,Boston,0.442
1940,RBI,Hank Greenberg,Detroit,150.0
1940,Runs,Ted Williams,Boston,134.0
1940,Slugging Average,Hank Greenberg,Detroit,0.67
1940,Stolen Bases,George Case,Washington,35.0
1940,Total Bases,Hank Greenberg,Detroit,384.0
1940,Triples,Barney McCosky,Detroit,19.0
1941,Base on Balls,Ted Williams,Boston,147.0
1941,Batting Average,Ted Williams,Boston,0.406
1941,Doubles,Lou Boudreau,Cleveland,45.0
1941,Hits,Cecil Travis,Washington,218.0
1941,Home Runs,Ted Williams,Boston,37.0
1941,On Base Percentage,Ted Williams,Boston,0.551
1941,RBI,Joe DiMaggio,New York,125.0
1941,Runs,Ted Williams,Boston,135.0
1941,Slugging Average,Ted Williams,Boston,0.735
1941,Stolen Bases,George Case,Washington,33.0
1941,Total Bases,Joe DiMaggio,New York,348.0
1941,Triples,Jeff Heath,Cleveland,20.0
1951,Base on Balls,Ted Williams,Boston,144.0
1951,Batting Average,Ferris Fain,Philadelphia,0.344
1951,Doubles,George Kell,Detroit,36.0
1951,Doubles,Sam Mele,Washington,36.0
1951,Doubles,Eddie Yost,Washington,36.0
1951,Hits,George Kell,Detroit,191.0
1951,Home Runs,Gus Zernial,Chicago,33.0
1951,Home Runs,Gus Zernial,Philadelphia,33.0
1951,On Base Percentage,Ted Williams,Boston,0.464
1951,RBI,Gus Zernial,Chicago,129.0
